Teplice,-4,2000-01-09
Sušice,8,2010-09-16
Rumburk,8,2018-02-04
Rakovník,24,2019-08-07
Pardubice,31,2007-06-13
Jihlava,-4,2009-06-08
Liberec,3,2006-03-04
Frýdek-Místek,18,2017-07-02
Klatovy,3,2004-07-26
Pardubice,0,2000-08-26
Jablonec nad Nisou,26,2006-05-31
Klatovy,1,2021-10-25
Teplice,-12,2009-06-10
Rumburk,-9,2011-10-14
Jihlava,-8,2018-12-01
České Budějovice,20,2003-04-04
Jičín,12,2012-08-13
Uherský Brod,-1,2016-07-11
Sušice,-7,2005-03-19
Prostějov,12,2009-05-28
Ostrov,-5,2020-01-06
Chomutov,5,2017-03-31
Brandýs nad Labem-Stará Boleslav,17,2008-04-21
Litvínov,-9,2019-02-16
Vsetín,-3,2018-10-03
Brandýs nad Labem-Stará Boleslav,5,2021-12-28
Děčín,11,2006-12-18
Jihlava,-12,2003-06-26
Jablonec nad Nisou,11,2021-08-19
Český Těšín,-1,2009-06-28
Česká Lípa,-7,2019-10-04
Rakovník,-2,2002-03-31
Rumburk,30,2005-02-13
Jihlava,11,2004-08-10
Karviná,24,2001-06-12
Kolín,2,2008-08-08
Brandýs nad Labem-Stará Boleslav,30,2021-06-19
Tábor,3,2006-04-01
Kolín,20,2005-01-20
Jindřichův Hradec,-9,2020-12-18
Praha,30,2022-05-27
Jeseník,7,2002-06-05
Praha,28,2000-01-09
Rakovník,28,2004-08-31
Trutnov,16,2002-12-19
Olomouc,31,2020-01-14
Kladno,31,2010-08-23
Hradec Králové,5,2012-03-20
Břeclav,-3,2003-12-04
Kroměříž,30,2004-11-15
Kladno,24,2019-11-29
Valašské Meziříčí,12,2016-12-24
Brandýs nad Labem-Stará Boleslav,26,2012-01-15
České Budějovice,-5,2003-10-28
Brno,32,2019-06-14
Nový Jičín,-4,2007-05-31
Třebíč,-14,2021-07-06
Jindřichův Hradec,0,2007-09-07
Uherský Brod,13,2017-08-24
Prostějov,-14,2020-06-22
Hradec Králové,-15,2017-12-18
Uherské Hradiště,21,2003-03-24
Náchod,11,2013-08-21
Liberec,26,2010-05-14
Blansko,15,2000-11-02
Vsetín,-13,2017-07-20
Trutnov,26,2019-01-05
Prostějov,3,2011-04-12
Jičín,4,2017-06-25
Tábor,2,2013-03-02
Český Těšín,-2,2007-05-15
Liberec,1,2022-09-26
Rakovník,5,2016-12-10
Nový Jičín,-10,2016-03-09
Šumperk,6,2006-09-15
Uherské Hradiště,16,2002-07-06
Kolín,7,2007-07-15
Teplice,-6,2014-02-13
Trutnov,19,2012-05-13
Žďár nad Sázavou,-15,2011-04-19
Klatovy,-12,2004-03-15
Vsetín,25,2015-10-05
Ostrov,4,2003-01-09
Jindřichův Hradec,12,2000-05-09
Česká Lípa,11,2018-08-28
Žďár nad Sázavou,29,2003-08-13
Beroun,34,2013-06-05
Náchod,32,2011-02-25
Šumperk,-7,2003-06-19
Rakovník,29,2016-07-28
Ostrov,29,2021-12-08
Třebíč,-13,2007-07-20
Jirkov,26,2014-12-23
Uherský Brod,27,2014-05-22
Chomutov,1,2017-07-04
Louny,8,2017-10-06
České Budějovice,27,2006-03-25
Rakovník,21,2012-04-29
Pardubice,18,2003-04-29
Jirkov,33,2022-07-10
Benešov,-11,2013-08-08
Beroun,-7,2005-01-16
Děčín,22,2023-01-31
Ostrava,31,2000-12-11
Uherský Brod,-2,2013-04-25
Vsetín,20,2003-09-22
Český Těšín,-3,2002-03-14
Jeseník,28,2019-12-04
Ostrov,28,2005-03-30
Litoměřice,34,2005-03-24
Šumperk,1,2023-02-18
Přerov,27,2017-05-06
Olomouc,18,2013-08-20
Litvínov,-8,2018-08-24
Kroměříž,12,2018-02-23
Žďár nad Sázavou,30,2000-01-15
Klatovy,-9,2007-02-17
Kroměříž,0,2017-09-27
Karviná,31,2019-08-03
Frýdek-Místek,-1,2007-07-09
Kroměříž,-12,2014-05-29
Chomutov,24,2013-08-27
Český Těšín,-3,2022-05-01
Brandýs nad Labem-Stará Boleslav,-3,2006-09-08
Olomouc,-15,2019-07-17
Pardubice,-6,2020-09-03
Kroměříž,-14,2005-09-23
Jablonec nad Nisou,19,2021-05-16
Břeclav,18,2022-10-06
Teplice,0,2013-05-23
Vsetín,-1,2020-12-03
Jindřichův Hradec,18,2011-05-21
Teplice,15,2014-11-10
Kopřivnice,0,2014-04-01
Benešov,-6,2000-08-08
Tábor,-3,2015-01-30
Valašské Meziříčí,13,2013-03-04
České Budějovice,31,2011-03-19
Česká Lípa,0,2010-02-10
Zlín,19,2017-01-17
Pelhřimov,6,2009-11-18
Mladá Boleslav,18,2014-12-24
Mladá Boleslav,-4,2007-07-25
Benešov,11,2002-08-06
Havířov,22,2011-10-20
Nový Jičín,-15,2015-12-25
Břeclav,-8,2007-11-03
Pardubice,-8,2016-03-12
Česká Lípa,-12,2001-01-20
Rakovník,11,2010-07-12
Rakovník,5,2004-07-02
Brno,-8,2018-08-27
Břeclav,13,2014-08-18
Tábor,20,2003-03-03
Praha,18,2017-08-24
Prostějov,4,2021-12-30
Břeclav,12,2006-05-03
Přerov,16,2018-11-18
Chomutov,18,2009-10-22
Praha,2,2010-06-28
Plzeň,-14,2004-06-29
Pelhřimov,-15,2020-10-08
Rumburk,9,2006-11-23
Pelhřimov,15,2008-08-19
Litoměřice,-4,2012-07-28
Český Těšín,-3,2011-01-17
Praha,27,2005-03-19
Ostrava,-9,2020-01-20
Sušice,11,2001-05-05
Tábor,16,2015-05-24
Uherský Brod,10,2013-08-23
Ostrava,-2,2009-12-08
Zlín,30,2011-10-08
Kladno,-4,2008-06-14
Zlín,-7,2005-12-24
Ostrava,24,2015-10-28
Pelhřimov,1,2019-08-13
Vsetín,-15,2017-04-16
Rakovník,16,2007-08-17
Kopřivnice,32,2015-03-06
Rakovník,33,2017-04-19
Benešov,-8,2000-02-02
Šumperk,-2,2002-09-30
Jeseník,21,2020-10-31
Třebíč,25,2000-12-11
Sušice,12,2006-08-19
Liberec,25,2021-02-08
Jičín,34,2012-04-23
Benešov,18,2006-12-07
České Budějovice,34,2010-05-06
Zlín,6,2022-07-18
Česká Lípa,17,2018-05-17
Litoměřice,21,2005-12-10
Přerov,6,2008-02-10
Louny,2,2009-04-11
Kolín,21,2012-10-09
Kopřivnice,20,2009-03-28
Pelhřimov,24,2009-11-23
Mladá Boleslav,6,2006-12-07
Olomouc,-7,2017-04-14
Hradec Králové,2,2015-04-30
Jičín,-15,2007-11-01
Chomutov,25,2013-11-03
Šumperk,17,2019-08-14
Havířov,8,2004-12-02
Sušice,-15,2016-03-27
Jeseník,0,2005-04-28
Brno,-1,2021-07-02
Rumburk,21,2002-07-15
Pardubice,-8,2012-11-15
Ostrov,1,2009-08-07
Uherský Brod,23,2002-02-13
Blansko,16,2009-01-22
Mladá Boleslav,-7,2020-03-19
Český Těšín,8,2009-08-21
Tábor,-11,2020-01-03
Brandýs nad Labem-Stará Boleslav,7,2010-08-27
Třebíč,16,2008-06-21
České Budějovice,25,2014-12-16
Nový Jičín,5,2007-05-16
Žatec,26,2012-10-11
Ostrov,-6,2016-03-25
Přerov,-12,2018-08-15
Blansko,0,2022-07-25
Teplice,28,2009-11-14
Brno,19,2013-03-16
Beroun,0,2006-08-11
Liberec,2,2013-04-06
Liberec,4,2015-04-23
Kladno,30,2017-03-15
Děčín,-4,2018-01-14
Pelhřimov,-11,2004-12-07
Žďár nad Sázavou,0,2012-08-09
Děčín,25,2007-12-10
Jičín,-3,2020-01-19
Ostrov,22,2017-08-25
Benešov,24,2005-07-03
Olomouc,-5,2007-04-20
Uherský Brod,16,2019-10-04
Tábor,2,2001-05-24
Žatec,-13,2002-06-25
Pelhřimov,6,2018-05-15
Jirkov,26,2010-06-01
Rumburk,-14,2015-06-26
Litvínov,25,2012-12-07
Šumperk,9,2016-02-16
Chomutov,-9,2008-06-07
Přerov,10,2001-12-20
Liberec,30,2001-02-06
Jindřichův Hradec,34,2022-01-20
Uherský Brod,16,2019-12-15
Zlín,4,2007-09-24
Mladá Boleslav,33,2004-05-10
Tábor,17,2020-09-23
Hradec Králové,12,2006-10-01
Ústí nad Labem,14,2014-10-03
Jičín,0,2005-01-27
Frýdek-Místek,5,2007-03-27
Sušice,15,2019-02-03
Uherské Hradiště,1,2003-11-06
Kroměříž,12,2013-06-14
Teplice,0,2010-04-28
Jeseník,8,2022-08-23
Prostějov,9,2010-08-27
Tábor,-4,2022-01-27
Brandýs nad Labem-Stará Boleslav,10,2022-09-07
Kolín,5,2003-01-21
Uherské Hradiště,25,2003-10-07
Liberec,12,2000-01-15
Cheb,4,2001-11-02
Pelhřimov,-12,2013-08-16
Litvínov,27,2007-07-28
Uherské Hradiště,29,2020-07-05
Kladno,10,2006-09-11
Hradec Králové,3,2002-07-22
Sušice,9,2007-05-04
Olomouc,17,2017-12-08
Rumburk,-7,2008-11-29
Louny,7,2011-01-15
Louny,19,2009-09-15
Havířov,30,2017-08-21
Jičín,33,2000-06-05
Benešov,19,2018-08-15
Vsetín,33,2012-08-08
Uherský Brod,21,2006-05-26
Jeseník,16,2023-01-27
Rakovník,3,2020-12-23
Brandýs nad Labem-Stará Boleslav,7,2019-06-20
Litoměřice,19,2014-07-19
Klatovy,33,2002-07-19
Benešov,6,2010-01-01
Trutnov,27,2019-12-29
Česká Lípa,6,2013-06-29
Kolín,17,2017-10-12
Jirkov,-8,2020-01-12
Olomouc,17,2004-06-24
Litoměřice,18,2010-08-28
Litvínov,17,2019-01-30
Klatovy,21,2010-02-09
Rakovník,22,2015-11-03
Jirkov,34,2000-08-02
Ostrov,-3,2016-01-18
Jindřichův Hradec,24,2007-02-01
Mladá Boleslav,12,2000-05-23
Kladno,0,2016-08-02
Havířov,-3,2004-04-07
Český Těšín,-13,2004-09-23
Pelhřimov,-13,2000-03-10
Olomouc,-7,2019-06-03
Zlín,34,2015-09-03
Rumburk,22,2014-05-07
Česká Lípa,7,2018-07-01
České Budějovice,23,2012-12-13
Blansko,-11,2009-10-01
Břeclav,19,2002-10-18
Jablonec nad Nisou,-8,2017-05-25
Havířov,22,2021-07-12
Třebíč,16,2003-12-14
Žďár nad Sázavou,28,2001-11-03
Břeclav,25,2013-01-15
Jeseník,19,2011-04-06
Břeclav,19,2016-03-21
Blansko,0,2017-12-24
Rumburk,1,2008-10-25
Brno,23,2003-05-18
Sušice,15,2005-04-05
Kopřivnice,22,2000-10-20
Kolín,7,2014-07-06
Klatovy,-1,2013-07-21
Vsetín,-4,2007-12-10
Jičín,20,2005-03-18
Uherský Brod,30,2009-11-08
Prostějov,-7,2007-03-07
Uherské Hradiště,17,2000-06-13
Tábor,30,2021-07-03
Chomutov,8,2010-10-10
Brandýs nad Labem-Stará Boleslav,-5,2021-03-31
Jablonec nad Nisou,-6,2017-04-02
Prostějov,-6,2007-09-26
Břeclav,3,2020-11-20
Brno,21,2013-07-27
Trutnov,7,2016-10-23
Nový Jičín,7,2020-07-27
Kladno,8,2005-12-23
Benešov,31,2000-04-08
Frýdek-Místek,12,2003-04-04
Žatec,11,2008-06-17
Prostějov,14,2002-07-21
Přerov,30,2016-08-03
Klatovy,19,2005-12-12
Kopřivnice,24,2006-05-21
Kopřivnice,-10,2021-10-16
Žatec,17,2013-11-10
Hradec Králové,18,2016-01-29
Hradec Králové,6,2017-07-08
Přerov,26,2005-07-24
Ostrava,10,2013-03-13
Prostějov,-1,2018-01-18
Brandýs nad Labem-Stará Boleslav,-7,2009-06-08
Jirkov,6,2006-03-27
Tábor,-10,2008-07-02
Havířov,21,2020-12-27
Česká Lípa,24,2020-04-18
Trutnov,18,2020-12-18
Zlín,4,2007-02-12
Rakovník,-5,2005-01-08
Pardubice,-9,2018-07-18
Pelhřimov,30,2014-12-11
Prostějov,-13,2011-12-04
Třebíč,-1,2013-12-21
Uherské Hradiště,28,2014-07-01
Uherské Hradiště,2,2009-02-17
Hradec Králové,33,2006-10-28
Třebíč,-12,2011-03-09
Přerov,5,2022-09-09
Brno,28,2007-03-05
Prostějov,2,2014-01-07
Sušice,-13,2021-02-13
Cheb,-1,2011-08-19
Jeseník,20,2022-01-12
Zlín,20,2002-06-06
Chomutov,2,2017-03-15
Kolín,-8,2004-08-16
Litvínov,-4,2012-12-27
Český Těšín,3,2020-04-14
Vsetín,8,2011-04-24
Kolín,4,2013-02-11
Třebíč,9,2008-07-12
Liberec,0,2021-05-20
Jablonec nad Nisou,5,2005-01-03
Praha,23,2009-08-14
Uherské Hradiště,32,2002-08-22
Prostějov,21,2014-10-31
Brandýs nad Labem-Stará Boleslav,2,2019-07-07
Kladno,28,2003-03-17
Beroun,9,2018-01-02
Jeseník,-9,2000-07-12
Tábor,0,2009-02-04
Jičín,-6,2003-10-01
Brno,2,2008-08-01
Ostrava,-5,2005-01-08
Nový Jičín,13,2007-11-04
Brno,25,2022-09-30
Jičín,26,2013-11-10
Jihlava,-11,2005-03-09
Beroun,25,2020-05-06
Uherské Hradiště,-5,2000-12-16
Ústí nad Labem,-14,2022-03-06
Náchod,29,2002-12-27
Náchod,-5,2014-02-05
Ostrava,3,2013-11-28
Havířov,28,2000-02-21
Benešov,23,2018-07-21
Tábor,3,2017-06-21
Valašské Meziříčí,13,2022-08-14
Český Těšín,20,2009-03-11
Třebíč,22,2000-02-16
Brandýs nad Labem-Stará Boleslav,25,2003-03-20
Chomutov,14,2012-12-08
Frýdek-Místek,-9,2002-04-12
Trutnov,-7,2007-04-11
Zlín,17,2004-07-10
Olomouc,4,2017-02-24
Litvínov,27,2000-10-04
Frýdek-Místek,10,2022-12-14
Sušice,-11,2015-06-22
Plzeň,-15,2019-08-01
Kladno,24,2006-12-03
Sušice,7,2023-01-04
Třebíč,0,2011-11-27
Nový Jičín,1,2005-01-06
Praha,7,2003-05-17
Olomouc,33,2010-02-18
Šumperk,2,2019-03-09
Brno,14,2016-12-09
Jirkov,-7,2011-02-16
Havířov,11,2009-02-23
Prostějov,9,2015-12-12
Kroměříž,-8,2001-04-01
Prostějov,15,2019-11-16
Břeclav,24,2010-08-28
Kopřivnice,20,2000-05-06
Havířov,34,2000-07-20
Mladá Boleslav,0,2007-12-21
Přerov,24,2005-06-04
Chomutov,-9,2002-09-16
Brno,6,2010-05-20
Žďár nad Sázavou,10,2013-11-08
Olomouc,-14,2017-06-20
Olomouc,-11,2013-04-28
Jihlava,5,2009-01-26
Jihlava,17,2006-01-15
Beroun,-7,2002-04-27
Třebíč,1,2010-04-15
Ostrava,13,2016-10-12
Blansko,23,2018-06-10
Žatec,24,2004-05-22
Plzeň,5,2016-05-29
Žďár nad Sázavou,-3,2000-07-24
Česká Lípa,13,2021-01-20
Žatec,33,2018-11-12
Ústí nad Labem,0,2007-04-13
Pelhřimov,18,2001-07-16
Žatec,28,2012-04-05
Prostějov,19,2007-08-29
Louny,-10,2002-10-04
Uherské Hradiště,4,2005-12-16
Jablonec nad Nisou,-10,2012-08-04
Valašské Meziříčí,22,2004-07-31
Chomutov,27,2016-07-07
Karviná,29,2013-03-29
Děčín,30,2014-06-08
České Budějovice,-13,2008-08-11
Prostějov,4,2004-10-13
Liberec,17,2004-10-29
Kladno,31,2015-06-16
Žatec,5,2016-12-09
Brno,13,2001-02-07
Český Těšín,27,2006-09-02
Louny,3,2015-11-27
Zlín,-1,2020-02-15
Ostrov,-6,2017-08-17
Klatovy,-9,2009-09-03
Prostějov,12,2007-08-18
Frýdek-Místek,21,2020-06-16
Cheb,14,2008-04-30
Uherské Hradiště,-10,2005-08-02
Chomutov,-1,2012-08-28
Jirkov,-1,2005-02-10
Jablonec nad Nisou,28,2015-10-30
Pelhřimov,-8,2018-03-05
Litvínov,32,2006-12-24
Pardubice,33,2002-04-06
Liberec,17,2005-11-29
Jirkov,34,2004-11-20
Pardubice,-6,2018-09-27
Náchod,-7,2001-02-17
Kopřivnice,3,2019-08-18
Plzeň,28,2017-04-01
Blansko,-6,2020-07-12
Uherské Hradiště,-1,2022-05-27
Liberec,-3,2014-10-15
Uherské Hradiště,3,2006-10-01
Uherský Brod,-14,2003-01-22
Zlín,-10,2022-11-07
Trutnov,20,2004-02-09
Pelhřimov,-2,2008-11-02
Tábor,-6,2016-03-20
Karviná,0,2015-02-05
Jablonec nad Nisou,23,2015-01-24
Jičín,7,2004-04-19
Rakovník,-15,2009-01-05
Vsetín,-6,2002-05-31
Pelhřimov,4,2015-05-06
Přerov,33,2011-03-01
Děčín,-8,2020-10-29
Šumperk,-1,2017-07-18
Blansko,10,2008-10-17
Trutnov,18,2019-03-03
Zlín,30,2022-11-08
Kladno,7,2002-02-06
Rakovník,34,2000-03-14
Přerov,29,2003-05-16
Chomutov,12,2017-11-11
Rakovník,-15,2004-10-25
Liberec,12,2003-01-16
Klatovy,-2,2017-10-30
Uherský Brod,8,2020-07-19
Kroměříž,1,2012-12-31
Litoměřice,11,2004-05-08
Litvínov,-3,2007-05-19
Zlín,-2,2011-09-16
Beroun,-13,2006-07-23
Třebíč,16,2007-02-02
Náchod,-4,2010-04-05
Kolín,16,2000-12-09
Kopřivnice,30,2018-05-16
Prostějov,7,2013-04-05
Plzeň,26,2014-06-29
Cheb,34,2006-02-25
Klatovy,26,2005-03-23
Přerov,22,2010-04-16
Litoměřice,-6,2004-06-17
Prostějov,22,2008-10-11
Liberec,18,2008-01-24
Klatovy,28,2014-09-13
Zlín,4,2014-09-11
Břeclav,33,2022-12-30
Plzeň,-3,2022-01-24
Praha,19,2011-01-22
Žatec,15,2000-07-05
Žatec,8,2007-12-09
Děčín,-11,2012-01-26
Kroměříž,-15,2005-11-02
Jičín,8,2022-02-01
Břeclav,23,2015-09-09
Klatovy,23,2020-03-10
Blansko,21,2020-12-22
Benešov,-14,2001-11-08
Mladá Boleslav,19,2015-06-17
Plzeň,-15,2012-03-28
Rumburk,-15,2021-04-21
Plzeň,-9,2022-12-28
Teplice,6,2011-12-28
Brno,-3,2013-06-19
Tábor,13,2002-08-25
Benešov,22,2010-08-02
Česká Lípa,-3,2021-09-01
Rumburk,-1,2019-03-04
Sušice,9,2021-04-06
Rakovník,-4,2010-04-25
Brno,31,2011-02-08
Pardubice,-8,2013-10-11
Jindřichův Hradec,-2,2001-01-10
České Budějovice,14,2019-12-22
Kladno,6,2019-05-11
Klatovy,18,2010-09-09
Šumperk,21,2022-11-24
Třebíč,-1,2003-04-26
Jeseník,-12,2007-04-14
Frýdek-Místek,15,2010-09-02
Litoměřice,27,2020-06-26
Jablonec nad Nisou,8,2019-10-13
Trutnov,-3,2007-07-02
Trutnov,15,2009-07-27
Přerov,9,2011-12-07
Plzeň,13,2005-01-11
Břeclav,32,2019-07-03
Jeseník,32,2013-11-06
Břeclav,-4,2001-09-04
Rakovník,-11,2006-10-09
Kolín,-4,2004-01-04
Český Těšín,22,2003-06-14
Uherské Hradiště,-12,2008-06-23
Jičín,9,2016-09-17
Louny,24,2000-03-05
Jirkov,-4,2018-12-20
Prostějov,16,2006-06-04
České Budějovice,28,2012-07-11
Blansko,-5,2015-12-05
Přerov,34,2004-06-24
Jičín,33,2008-06-27
Břeclav,-10,2018-08-06
Brandýs nad Labem-Stará Boleslav,-6,2021-03-29
Jeseník,15,2016-08-23
Teplice,15,2013-02-26
Praha,-13,2020-07-05
Pardubice,25,2007-06-26
Plzeň,26,2012-09-28
Jihlava,16,2002-11-07
Liberec,21,2023-02-07
Pardubice,31,2015-04-23
Žatec,-6,2006-10-11
Rumburk,-7,2011-06-24
Ostrov,3,2019-05-22
Blansko,-13,2022-06-23
Brandýs nad Labem-Stará Boleslav,30,2020-12-15
Tábor,4,2021-02-13
Děčín,29,2020-11-24
Děčín,16,2010-07-03
Praha,-6,2020-07-25
Ostrava,-14,2002-06-30
Kladno,-11,2016-01-30
Žďár nad Sázavou,30,2023-01-14
Ústí nad Labem,20,2009-08-08
Uherský Brod,20,2021-12-26
Brandýs nad Labem-Stará Boleslav,11,2011-11-26
Benešov,17,2005-05-13
Frýdek-Místek,16,2003-03-30
Klatovy,-1,2014-11-03
Náchod,-13,2007-08-20
Žďár nad Sázavou,-5,2000-02-18
Hradec Králové,-8,2018-08-07
Nový Jičín,23,2011-02-18
Břeclav,8,2003-11-19
Ostrov,-12,2014-05-01
Přerov,-12,2023-01-06
Rumburk,15,2005-12-05
Jirkov,19,2015-02-24
Louny,15,2019-01-29
Mladá Boleslav,-10,2021-03-24
Liberec,29,2015-05-15
Pelhřimov,1,2015-12-30
Žatec,7,2011-01-18
Kopřivnice,-15,2010-08-26
Uherské Hradiště,-9,2016-09-17
Žatec,16,2018-12-31
Plzeň,28,2001-08-26
Kolín,31,2013-02-26
Olomouc,-14,2019-11-13
Třebíč,30,2004-02-12
Ostrava,9,2009-10-04
Mladá Boleslav,2,2008-03-23
Třebíč,21,2009-06-22
Nový Jičín,26,2017-04-12
Valašské Meziříčí,33,2009-11-12
Valašské Meziříčí,-11,2009-03-04
Šumperk,22,2015-03-08
Rumburk,-15,2008-10-29
Louny,9,2019-04-07
Jablonec nad Nisou,8,2011-07-09
Kopřivnice,-3,2016-08-14
Rakovník,8,2005-04-08
Náchod,-12,2011-01-18
Blansko,15,2012-09-17
Karviná,-1,2001-11-01
Kladno,28,2021-08-08
Tábor,-13,2013-10-21
Český Těšín,-7,2016-06-10
Prostějov,18,2007-05-17
Jirkov,32,2016-09-28
Kopřivnice,11,2001-09-17
Plzeň,14,2021-03-22
Havířov,15,2017-01-19
Ostrava,19,2000-08-06
Uherský Brod,13,2014-12-18
Trutnov,14,2015-08-22
Žatec,28,2010-05-05
Plzeň,34,2016-09-24
Pardubice,24,2002-04-29
Valašské Meziříčí,-13,2010-03-09
Benešov,5,2006-07-25
České Budějovice,30,2004-08-02
Cheb,28,2008-04-12
Kladno,1,2010-03-30
Chomutov,21,2001-10-08
Přerov,4,2022-08-04
Náchod,24,2011-12-06
Sušice,33,2001-11-11
Děčín,22,2012-03-23
Liberec,7,2005-07-15
Ústí nad Labem,-2,2003-08-10
Teplice,-11,2018-03-27
Havířov,29,2002-06-28
